id_point_d_accueil,ID_A1,ID_A2,ID_A4,ID_A6,ID_A7,ID_A8,ID_A9,ID_A10,ID_A11,ID_A12,ID_A13,ID_A14,ID_A15,ID_A16,ID_A17,ID_A18,ID_A19,ID_A20,ID_A21,ID_A22,ID_A23,ID_A24,ID_A25,ID_B25,ID_C25,ID_D25,ID_E25,ID_F25,ID_A26,ID_B26,ID_C26,ID_D26,ID_E26,ID_F26,ID_A27,ID_B27,ID_C27,ID_D27,ID_E27,ID_F27,ID_A28,ID_B28,ID_C28,ID_D28,ID_E28,ID_F28,ID_A29,ID_B29,ID_C29,ID_D29,ID_E29,ID_F29,ID_A30,ID_B30,ID_C30,ID_D30,ID_E30,ID_F30,ID_A31,ID_B31,ID_C31,ID_D31,ID_E31,ID_F31,ID_A32,ID_B32,ID_C32,ID_D32,ID_E32,ID_F32,ID_A33,ID_B33,ID_C33,ID_D33,ID_E33,ID_F33,ID_A34,ID_B34,ID_C34,ID_D34,ID_E34,ID_F34,ID_A35,ID_A36,ID_A37,ID_A38,ID_A39,ID_A40,ID_A41,ID_A42,ID_A43,ID_A44,ID_A45,ID_B45,ID_C45,ID_A46,ID_A47,ID_A49,ID_A50,ID_B50,ID_C50,ID_A51,ID_A52,ID_B52,ID_C52,ID_A53,ID_A54,ID_A55,ID_A56,ID_A57,ID_A58,ID_A59,ID_A60,ID_A61,ID_A62,ID_A63,ID_A64,ID_A65,ID_A66,ID_A67,ID_A68,ID_A69,ID_A70,ID_A71,ID_A72,ID_A73,ID_A74,ID_A75,ID_A76,ID_A77,ID_A78,ID_A79,ID_A80,ID_A81,ID_A82,ID_A83,ID_A84,ID_A85,ID_A86,ID_A87,ID_B87,ID_C87,ID_D87,ID_E87,ID_A88,ID_B88,ID_C88,ID_D88,ID_E88,ID_A89,ID_B89,ID_C89,ID_D89,ID_E89,ID_A90,ID_B90,ID_C90,ID_D90,ID_E90,ID_A91,ID_B91,ID_C91,ID_D91,ID_E91,ID_A92,ID_B92,ID_C92,ID_D92,ID_E92,ID_A93,ID_B93,ID_C93,ID_D93,ID_E93,ID_A94,ID_B94,ID_C94,ID_D94,ID_E94,ID_A95,ID_B95,ID_C95,ID_D95,ID_E95,ID_A96,ID_B96,ID_C96,ID_D96,ID_E96,ID_A97,ID_B97,ID_C97,ID_D97,ID_E97,ID_A98,ID_B98,ID_C98,ID_D98,ID_E98,ID_A99,ID_B99,ID_C99,ID_D99,ID_E99,ID_A100,ID_B100,ID_C100,ID_D100,ID_E100,ID_A101,ID_B101,ID_C101,ID_D101,ID_E101,ID_A102,ID_B102,ID_C102,ID_D102,ID_E102,ID_A103,ID_A104,ID_A105
010008407G1,CH DU HAUT BUGEY,010005239,Structures des urgences générales,0,1,0,0,1,0,0,,0,,3,3,1,0,,0,,,,9,8.50,4.00,0.00,,0,0,0.00,,,,,0,0.00,,,,,1,1.00,,,,,21,19.85,,,,,15,15.00,,,,,0,0.00,,,,,1,0.50,,,,,0,0.00,,,,,0,0.00,,,,,0,,,,,,0,0,,0,,,,0,1,0,,,,1,1,,,0,,0,0,0,1,1,1,1,1,1,0,,,1,15,0,,0,0,,,0,,0,0,0,1,1,0,,,"programmation des sejours, programmation des sorties, SSR reeducation. DMS améliorée",11/06/2013,1,3,3,8,5,1,0,1,2,0,6,2,1,0,2,2,2,0,3,3,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,2,2,2,2,2,2,1,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,57,0,
010780054G1,CH FLEYRIAT BOURG-EN-BRESSE,010780054,Structures des urgences générales,1,1,1,1,1,1,0,Toutes les unités de MCO,0,,3,3,1,1,"Réseau RESUVAL : Etude présence par un ARC, harmonisation des protocoles",1,1,1,0,19,19.05,0.00,0.25,3161,0,0,0.00,,,,,8,7.66,,,,,2,2.00,0.00,0.00,,,38,35.82,,,,,18,15.75,,,,,3,3.00,,,,,4,4.00,,,,,0,0.00,,,,,10,9.85,,,,,1,1,1,Aide-soignant,1,69,0,1,0,0,,,,1,1,0,,,,1,1,,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,22,1,4,0,0,,,0,,1,1,1,1,1,1,2,1,Envoi par mail de l'état des lits disponibles des 2 hôpitaux du département ayant des lits SSR,11/06/2013,1,6,11,5,2,1,0,1,2,1,8,5,1,3,8,0,0,0,0,0,0,1,0,0,1,3,4,4,3,3,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,1,1,1,1,1,6,6,6,5,6,2,2,2,1,2,2,2,0,0,2,1,2,1,0,1,2,2,2,1,2,1,2,0,0,0,111,6,12
010780062G1,Centre Hospitalier Dr RECAMIER - BELLEY,010780062,Structures des urgences générales,0,1,0,0,0,0,0,entrées directes en médecine polyvalente et entrées programmées en chirurgie,0,,3,3,1,1,RENAU (réseau Nord Alpin des Urgences),0,,,,2,6.46,2.40,2.40,,,0,0.00,,,,,0,0.00,,,,,1,1.00,,,,,4,12.55,,,,,1,4.14,,,,,1,0.95,,,,,1,2.03,,,,,0,0.00,,,,,2,6.70,,,,,0,,,,,,0,0,,0,,,,0,1,0,,,,0,,,,0,,0,0,1,1,2,1,1,1,1,0,,,0,,1,3,0,0,,,1,1,1,0,0,,1,0,,,négociations inter-cadres de santé des unités afin d'optimiser l'occupation des lits.,11/06/2013,1,11,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,2,1,1,2,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,51,4,7
010780195G1,CLINIQUE CONVERT - BOURG-EN-BRESSE,010780195,Structures des urgences générales,0,1,2,0,2,0,0,,0,,1,1,0,1,"resuval  (bonnes pratiques), Vilhopain (lien communication ville - hôpital)",1,0,1,0,4,1.50,,,,,1,0.00,,,,,0,0.00,,,,,1,0.60,,,,,11,8.19,1.00,,311,,3,2.33,0.33,,13,,0,0.00,,,,,3,2.90,,,26,,0,0.00,,,,,0,0.00,,,,,0,,,,,0,0,0,,0,,,,1,0,0,,,,0,,,,0,,1,1,1,1,1,1,1,1,1,1,1,1,0,,1,24,1,1,1,1,1,2,1,1,1,1,1,1,0,0,,11/06/2013,10,5,8,10,10,0,0,0,0,0,4,1,1,1,1,1,1,2,2,2,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,2,2,2,2,1,1,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,52,,
010780203G1,CLINIQUE MUTUALISTE AMBERIEU EN BUGEY,010780203,Structures des urgences générales,1,1,0,0,1,0,0,CHIRURGIE NON PROGRAMMEE,0,,3,3,1,1,PARTICIPATION AUX DIFFERENTS RESEAUX,0,0,0,,8,8.00,0.00,0.00,,,0,0.00,0.00,0.00,,,0,0.00,0.00,0.00,,,1,1.00,0.00,0.00,55,172,10,10.00,0.00,0.00,401,1376,4,2.70,0.00,0.00,141,303,1,1.00,0.00,0.00,0,172,5,5.00,0.00,0.00,38,641,0,0.00,0.00,0.00,0,0,5,5.00,0.00,0.00,487,653,0,,,,0,,1,0,0,0,,,,0,1,0,,,,0,,,,0,,1,1,1,1,1,1,1,1,1,0,0,0,1,10,1,3,1,0,1,0,0,,0,0,0,0,1,1,0,0,,11/06/2013,2,7,7,7,5,0,0,0,0,0,4,3,2,4,4,2,3,2,1,3,1,0,1,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,2,2,2,0,1,0,1,1,1,1,0,0,1,2,4,2,0,2,0,0,0,0,0,1,1,1,1,1,63,2,5
020000063A1,CENTRE HOSPITALIER DE SAINT-QUENTIN,020000063,Structures des urgences générales sur site ayant aussi une structure des urgences pédiatriques,1,1,0,0,1,2,2,Hépato gastro entérologie,1,2.00,3,3,1,0,,0,,,,8,6.10,2.70,0.00,4176,571,17,4.70,0.00,0.00,192,62,1,1.00,3.00,0.00,0,0,3,2.00,0.00,0.00,0,0,41,36.81,0.00,0.00,599,0,37,35.92,0.00,0.00,449,0,9,7.45,0.00,0.00,150,0,4,2.61,0.00,0.00,0,0,0,0.00,0.00,0.00,0,0,10,8.28,0.00,0.00,52,0,1,1,1,,1,10,0,1,0,0,,,,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,1,2,1,0,,,0,,1,1,1,1,1,0,,,,11/06/2013,0,2,4,3,1,0,1,3,0,0,0,0,0,1,0,0,3,5,7,0,,,,,,3,3,2,2,3,2,2,1,1,2,1,1,3,3,1,0,0,0,0,0,2,2,2,1,2,5,5,5,5,5,5,5,3,3,5,1,1,1,0,1,2,4,1,0,2,0,0,0,0,0,2,2,2,2,2,76,3,3
020000063P1,CENTRE HOSPITALIER DE SAINT-QUENTIN,020000063,Structures des urgences pédiatriques,0,0,,,,,,,0,,1,1,0,0,,1,1,1,0,0,0.00,0.00,0.00,0,0,6,1.00,0.00,0.00,0,0,4,1.00,0.00,0.00,0,0,1,0.40,0.00,0.00,0,0,22,6.00,0.00,0.00,0,0,33,8.00,0.00,0.00,0,0,9,2.00,0.00,0.00,0,0,2,0.50,0.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,,,,,,0,0,,,,,,,,,,,,0,,,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,,1,2,1,0,,,0,,1,1,1,1,1,0,,,,11/06/2013,0,7,2,5,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,3,1,1,0,0,0,0,0,1,0,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,44,,
020000261A1,CENTRE HOSPITALIER DE SOISSONS,020000261,Structures des urgences générales sur site ayant aussi une structure des urgences pédiatriques,1,1,2,2,1,2,0,,1,0.25,3,3,1,1,"Protocole de prise en charge des AVC, infarctus- participation au collège des urgences de Picardie- participation à la PDSES",1,1,1,0,13,12.50,0.00,0.00,3909,0,6,2.88,0.00,0.00,877,0,1,1.00,0.00,0.00,0,0,1,1.00,0.00,0.00,0,0,35,34.71,0.00,0.00,5,0,16,14.45,0.00,0.00,15,0,5,4.11,0.00,0.00,0,0,5,4.93,0.00,0.00,0,0,3,2.29,0.00,0.00,100,0,0,0.00,0.00,0.00,0,0,1,1,0,,0,20,0,0,,0,,,,1,1,,,,,1,1,,,0,,0,1,0,0,1,1,1,1,0,1,0,0,1,26,1,4,0,0,,,0,,0,0,0,0,0,0,,,Il existe une commission des admissions et des hospitalisations non programmées,11/06/2013,2,11,8,6,0,0,5,3,2,1,4,4,2,3,4,0,0,0,0,1,0,0,0,0,0,1,4,4,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,5,5,6,4,5,2,2,3,1,2,1,1,1,0,1,2,2,1,0,2,0,0,1,1,0,3,3,3,1,2,114,1,1
020000261P1,CENTRE HOSPITALIER DE SOISSONS,020000261,Structures des urgences pédiatriques,0,0,,,,,,,0,,1,1,0,0,,0,,,,0,0.00,,,,,1,0.50,,,,,1,1.00,,,,,1,0.50,,,,,1,0.50,,,,,1,0.50,,,,,0,0.00,,,,,0,0.00,,,,,0,0.00,,,,,0,0.00,,,,,0,,,,,,0,0,,,,,,,,,,,,0,,,,0,,0,0,0,0,0,0,1,1,1,1,0,1,,,1,4,0,0,,,0,,0,0,0,0,0,0,,,Proximité en fonction du lieu de résidence des parents- contacts réguliers et faciles avec les autres hôpitaux du territoire,11/06/2013,0,4,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,
020000394A1,CENTRE HOSPITALIER DE LAON,020000394,Structures des urgences générales sur site ayant aussi une structure des urgences pédiatriques,0,1,2,0,1,0,0,,1,2.00,3,3,1,1,Collège de Médecine d'urgence de Picardie,0,,,,20,18.20,,,186253,,0,0.00,,,,,2,2.00,,,,,1,1.00,,,,,36,33.70,,,,,10,10.00,,,,,9,7.50,,,,,3,2.50,,,,,0,0.00,,,,,31,28.84,,,,,1,1,0,,1,10,0,0,0,0,,,,1,1,,,,,0,,,,0,,1,1,0,1,0,1,1,1,1,1,0,1,1,22,0,,0,0,,,0,,1,0,0,1,0,0,,,Protocole Hôpital sous tension,11/06/2013,3,7,5,4,2,4,10,14,16,4,4,3,2,4,4,0,0,0,0,0,,,,,,2,3,3,2,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,4,4,4,3,4,3,3,3,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,70,,
